,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
Hs 895.T,0.0,,,,1.0,,,,0.0,1.0,,,1.0,1.0,,0.0,,1.0,1.0,,1.0,,0.0,0.0
Hs 936.T,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,0.0,,1.0,1.0,0.0,0.0
Hs 939.T,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,0.0,,,1.0,1.0,1.0,1.0,,,1.0,0.0,0.0
Hs 944.T,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
HuCCT1,1.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
HuT 78,1.0,,0.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,
IA-LM,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,1.0,,,1.0,
IGR-37,1.0,,,1.0,,1.0,,1.0,,0.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,
IGR-39,1.0,1.0,1.0,0.0,,1.0,,,,,,,,,,1.0,0.0,1.0,1.0,,,0.0,1.0,
IGROV1,0.0,,1.0,0.0,1.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,1.0,1.0,0.0,1.0,
IM95,1.0,,,,,,,,,,,1.0,,,,,0.0,1.0,,,,,,1.0
IMR-32,0.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,0.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0
IPC-298,1.0,0.0,,1.0,0.0,1.0,0.0,,1.0,1.0,,1.0,,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,
IST-MES1,0.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,,1.0,0.0
IST-MES2,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ishikawa (Heraklio) 02 ER-,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,0.0,1.0
J82,1.0,1.0,,,,,,0.0,,,,1.0,,1.0,,,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
JHH-2,0.0,0.0,1.0,,1.0,0.0,,,1.0,1.0,,0.0,,1.0,,,0.0,1.0,1.0,,1.0,0.0,,1.0
JHH-4,0.0,0.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,0.0,1.0,1.0,,1.0,0.0,1.0,0.0
JHH-5,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JHH-6,1.0,,,,,0.0,,,,,,,,,,,1.0,0.0,1.0,,,1.0,,
JHH-7,1.0,1.0,,1.0,1.0,,,,0.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,0.0,0.0
JHOS-2,1.0,0.0,,,,,0.0,1.0,,,,1.0,,,,1.0,0.0,0.0,,,1.0,1.0,1.0,
JHOS-4,0.0,1.0,1.0,,1.0,,,1.0,0.0,0.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,0.0,1.0
JHUEM-2,1.0,1.0,0.0,,1.0,,,,,,0.0,1.0,,1.0,,,1.0,1.0,,,1.0,0.0,1.0,1.0
JM1,0.0,,,,,,,,,0.0,,,,,,,1.0,1.0,,,,,1.0,
JMSU-1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JURKAT,0.0,0.0,1.0,,0.0,1.0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JVM-3,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
K029AX,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,,0.0,1.0,1.0,0.0
