,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
NCI-H1373,1.0,0.0,,,,0.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,0.0,1.0
NCI-H1563,1.0,1.0,0.0,,,,,,,,,,,0.0,,,,0.0,1.0,,1.0,1.0,,
NCI-H1568,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
NCI-H1573,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,1.0,0.0,0.0,,1.0,,0.0,
NCI-H1581,0.0,,,,,,,,,,,1.0,,,,,0.0,1.0,,,,,1.0,
NCI-H1648,1.0,1.0,,,1.0,,1.0,,,1.0,,0.0,,,,1.0,1.0,1.0,1.0,,,,0.0,
NCI-H1650,1.0,0.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,1.0
NCI-H1651,1.0,0.0,1.0,,0.0,,,,,,,,1.0,1.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
NCI-H1666,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,0.0,1.0,1.0,,,1.0,1.0
NCI-H1693,1.0,1.0,1.0,,1.0,1.0,,,0.0,0.0,,1.0,,1.0,,,0.0,1.0,,,0.0,0.0,1.0,1.0
NCI-H1694,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,
NCI-H1703,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0
NCI-H1792,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,,0.0,1.0,1.0,,,0.0,0.0,1.0,,1.0,0.0,1.0,
NCI-H1793,1.0,0.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,0.0,1.0
NCI-H1869,1.0,1.0,,,,0.0,,,1.0,,,,,,,,,0.0,,,1.0,1.0,,
NCI-H1915,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,1.0,0.0,1.0,,,1.0,1.0,1.0,,1.0,0.0,0.0,1.0
NCI-H1944,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,0.0,0.0
NCI-H1975,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,,,0.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,
NCI-H2009,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
NCI-H2023,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,,0.0,1.0,1.0,1.0
NCI-H2030,1.0,1.0,1.0,1.0,0.0,1.0,,,1.0,1.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
NCI-H2052,1.0,1.0,0.0,,,,,,,,1.0,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
NCI-H2085,0.0,,1.0,,,,0.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,0.0,1.0
NCI-H2087,1.0,0.0,1.0,1.0,1.0,,0.0,,1.0,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
NCI-H211,1.0,1.0,,1.0,,1.0,1.0,0.0,1.0,0.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
NCI-H2122,1.0,,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
NCI-H2170,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NCI-H2172,,,,,,,,,,,,,,,,,0.0,,,,,,,
NCI-H2228,1.0,1.0,0.0,,1.0,1.0,,,,1.0,,0.0,,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NCI-H226,1.0,,,,,,,,,,,1.0,0.0,1.0,,,,0.0,1.0,,1.0,1.0,1.0,
NCI-H2286,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
NCI-H23,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
NCI-H2444,1.0,,0.0,0.0,0.0,0.0,,1.0,,,,1.0,0.0,,,,0.0,1.0,0.0,,,,0.0,1.0
NCI-H2452,1.0,,0.0,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
NCI-H28,1.0,1.0,1.0,,1.0,,1.0,,1.0,0.0,,1.0,1.0,1.0,,,0.0,0.0,1.0,,1.0,1.0,1.0,1.0
NCI-H322,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,0.0,1.0,,1.0,1.0,0.0,1.0
NCI-H3255,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,1.0,,0.0,,1.0,,,0.0,1.0,0.0,,1.0,,0.0,1.0
NCI-H358,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
NCI-H441,1.0,1.0,0.0,,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NCI-H460,1.0,0.0,,1.0,,,,,,,1.0,1.0,,1.0,,,0.0,1.0,0.0,,0.0,1.0,1.0,
NCI-H520,1.0,1.0,,,,1.0,,,,1.0,,0.0,1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
NCI-H522,1.0,1.0,1.0,,0.0,0.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,0.0,1.0,0.0,
NCI-H647,1.0,,1.0,,,,,,,,,1.0,0.0,,,,1.0,0.0,0.0,,1.0,,0.0,1.0
NCI-H650,0.0,0.0,,0.0,1.0,,,1.0,1.0,0.0,,0.0,0.0,1.0,,,,0.0,1.0,,1.0,1.0,1.0,0.0
NCI-H661,0.0,1.0,,,,1.0,1.0,,0.0,,,,0.0,,,,0.0,0.0,1.0,,,,0.0,
NCI-H727,1.0,1.0,,1.0,,0.0,,,,,,1.0,,,,,,1.0,,,,,,
NCI-H747,1.0,1.0,0.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,0.0,,1.0,1.0
NCI-H810,0.0,0.0,,,,1.0,1.0,,1.0,1.0,,,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
NCI-N87,1.0,,,,1.0,,1.0,,1.0,1.0,,0.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
NCO2,1.0,,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,0.0,1.0,1.0,,,1.0,0.0,1.0,,1.0,1.0,1.0
NIH:OVCAR-3,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,0.0,,1.0,,1.0,1.0
NUGC-3,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUGC-4,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OC 314,1.0,,1.0,,1.0,,,,0.0,,,1.0,0.0,,,,1.0,0.0,1.0,,,1.0,1.0,1.0
OC 315,1.0,,1.0,0.0,0.0,1.0,,,0.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0
OC 316,1.0,,0.0,,1.0,1.0,,,0.0,,,,1.0,,,,1.0,0.0,1.0,,,0.0,1.0,0.0
OCI-AML2,1.0,1.0,0.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
OCI-AML5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
OCI-LY10,0.0,,,,,,,,1.0,,,1.0,,,,,,1.0,0.0,,,,0.0,
OCUM-1,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,
OE21,1.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,,,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0
OE33,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0
ONCO-DG-1,1.0,0.0,1.0,,1.0,1.0,,,0.0,1.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
ONS-76,0.0,,1.0,1.0,,0.0,,,,1.0,0.0,1.0,1.0,0.0,,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,
OPM-2,0.0,1.0,,,,1.0,,,,,,,,1.0,,,0.0,1.0,,,1.0,,1.0,
OV-90,1.0,1.0,,1.0,,1.0,,,1.0,0.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
OVCAR-4,0.0,1.0,,,,0.0,,1.0,1.0,1.0,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
OVCAR-8,1.0,,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
OVMANA,0.0,1.0,1.0,,1.0,0.0,,,1.0,0.0,,1.0,,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
OVSAHO,0.0,1.0,,,1.0,0.0,1.0,,1.0,,,0.0,1.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0
OVTOKO,0.0,,1.0,,1.0,1.0,,,1.0,,,,,0.0,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,
P12-ICHIKAWA,0.0,1.0,,1.0,1.0,1.0,0.0,,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
P31/FUJ,0.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
P3HR-1,0.0,,1.0,,,,,,,1.0,,1.0,0.0,,,,1.0,1.0,,,,1.0,1.0,1.0
PA-TU-8902,0.0,1.0,1.0,1.0,0.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,0.0,,1.0,1.0,1.0,1.0,
PC-14,1.0,0.0,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0
PC-3,1.0,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
PK-1,1.0,1.0,0.0,0.0,0.0,1.0,,,0.0,1.0,,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PK-45H,1.0,0.0,1.0,1.0,1.0,0.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0
PK-59,1.0,0.0,1.0,1.0,1.0,0.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
PL45,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,0.0,,1.0,1.0,1.0,
PLC/PRF/5,1.0,1.0,1.0,,1.0,1.0,,,0.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PSN1,1.0,1.0,,1.0,,,,,,,,1.0,,,,,0.0,1.0,,,0.0,1.0,1.0,
Panc 02.03,1.0,1.0,0.0,1.0,1.0,1.0,,,0.0,1.0,,1.0,1.0,0.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Panc 03.27,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
Panc 04.03,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0
Panc 10.05,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
Pfeiffer,0.0,1.0,1.0,0.0,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0
QGP-1,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,1.0,0.0,,
RD,1.0,1.0,0.0,1.0,,,1.0,,,,,1.0,,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
RERF-GC-1B,0.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,0.0,1.0,1.0,1.0
RERF-LC-AI,1.0,0.0,,,1.0,1.0,,,1.0,1.0,,0.0,,1.0,,,1.0,1.0,1.0,,0.0,1.0,1.0,
RERF-LC-MS,1.0,1.0,,,,,,,,,,0.0,1.0,,,,1.0,0.0,0.0,,1.0,1.0,0.0,1.0
RKN,0.0,0.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
RKO,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
RL95-2,1.0,1.0,1.0,0.0,1.0,0.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,0.0,0.0
RPMI-7951,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,0.0
RPMI-8402,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
RT-112,1.0,1.0,0.0,0.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RT4,1.0,,1.0,0.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0
RVH-421,1.0,,,1.0,,0.0,,,,,,1.0,1.0,,,1.0,0.0,1.0,1.0,,,1.0,0.0,
Raji,0.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,
Reh,0.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,
SBC-5,1.0,0.0,,0.0,,1.0,,,1.0,0.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
SCC-25,1.0,,1.0,1.0,,,,0.0,1.0,,,0.0,1.0,0.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0
SCC-9,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,1.0,,,,,1.0,1.0,1.0,,,0.0,0.0,0.0
SCaBER,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,0.0,,1.0,,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0
SF-295,1.0,0.0,0.0,,,1.0,,,1.0,,,,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,
SF126,0.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
SF8657,1.0,1.0,,,,0.0,,,,1.0,,0.0,,1.0,,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,
SH-10-TC,0.0,1.0,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,
SHP-77,1.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,
SIG-M5,1.0,1.0,,1.0,,1.0,,,0.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,
SIMA,0.0,1.0,,1.0,,1.0,,,,,,0.0,,1.0,,,,1.0,1.0,,1.0,,1.0,
SJRH30,0.0,1.0,,,,,1.0,,0.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
SJSA-1,1.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,0.0,1.0,,,,1.0,
SK-BR-3,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,0.0,1.0,,0.0,1.0,0.0
SK-CO-1,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,0.0,0.0,,1.0,1.0,1.0,1.0
SK-ES-1,0.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0
SK-HEP-1,1.0,0.0,,0.0,0.0,1.0,1.0,,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,,,1.0,0.0,
SK-LMS-1,0.0,0.0,,,1.0,,,1.0,0.0,,,0.0,,0.0,,1.0,0.0,1.0,,,0.0,1.0,1.0,0.0
SK-LU-1,1.0,0.0,1.0,0.0,0.0,1.0,,,,,1.0,1.0,0.0,,,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
SK-MEL-2,1.0,,,1.0,,0.0,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,
SK-MEL-24,1.0,0.0,,1.0,,1.0,,0.0,1.0,1.0,,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0
SK-MEL-30,1.0,0.0,,1.0,,0.0,,,,0.0,,1.0,,0.0,,,1.0,0.0,1.0,1.0,,0.0,1.0,
SK-MEL-31,1.0,1.0,,1.0,,0.0,1.0,,0.0,1.0,,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0
SK-MEL-5,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
SK-MES-1,1.0,1.0,1.0,,1.0,,,0.0,1.0,,,1.0,,0.0,,0.0,0.0,1.0,,,0.0,1.0,1.0,0.0
SK-MM-2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SK-N-AS,0.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,0.0,1.0,1.0
SK-N-BE(2),0.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,
SK-N-DZ,0.0,1.0,0.0,,,,1.0,1.0,0.0,,,,1.0,1.0,,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0
SK-N-FI,0.0,,,,,,,,,,,1.0,,,,,0.0,1.0,,,,,,
SK-N-SH,1.0,1.0,1.0,0.0,1.0,,0.0,,,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SK-OV-3,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,0.0,0.0,1.0,,,1.0,1.0,1.0
SNG-M,1.0,1.0,0.0,,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
SNU-1,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
SNU-16,1.0,0.0,,,,,1.0,,1.0,,,,,0.0,,,,1.0,1.0,,1.0,1.0,1.0,
SNU-182,0.0,0.0,0.0,1.0,,,,,,,,1.0,0.0,,,,0.0,0.0,0.0,,1.0,,0.0,1.0
SNU-387,0.0,1.0,,,,,,,,,,1.0,,,,,1.0,0.0,,,0.0,,,
SNU-398,0.0,,0.0,0.0,,,,,,,,1.0,,1.0,,,1.0,1.0,0.0,,,,1.0,
SNU-423,0.0,1.0,,,,,,,,,,0.0,1.0,,,,0.0,0.0,0.0,,,,0.0,
SNU-449,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,1.0,1.0,0.0,,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
SNU-475,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
SNU-C2A,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,0.0,1.0,,,1.0,,1.0,1.0
SNU-C2B,1.0,1.0,,1.0,,,,0.0,1.0,,,1.0,,,,,1.0,1.0,0.0,,1.0,,1.0,1.0
SU-DHL-10,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,1.0,0.0
SU-DHL-4,1.0,0.0,1.0,,1.0,1.0,0.0,,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
SU-DHL-6,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,
SU-DHL-8,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0
SU.86.86,1.0,1.0,,1.0,0.0,,,,,,,1.0,,,,,,0.0,1.0,,,,1.0,1.0
SUIT-2,0.0,1.0,0.0,1.0,1.0,1.0,,,0.0,,,1.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,
SUP-M2,1.0,,,0.0,,1.0,1.0,1.0,,,1.0,1.0,0.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,
SUP-T1,0.0,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,1.0,
SW 1088,1.0,0.0,,,,,,,1.0,,,0.0,1.0,,,1.0,,0.0,1.0,,1.0,,,1.0
SW 1271,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,,1.0,,1.0,1.0
SW 1353,1.0,1.0,0.0,,,1.0,,,1.0,,1.0,,,0.0,,,1.0,1.0,1.0,,0.0,1.0,0.0,1.0
SW 1573,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0
SW 1990,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0
SW 780,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,0.0,,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0
SW 900,0.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,0.0,
SW1417,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,0.0,0.0,1.0,,,,,1.0,
SW403,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0
SW48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,0.0,,,1.0,1.0,1.0,,1.0,0.0,1.0,
SW480,1.0,0.0,,1.0,,1.0,,,1.0,,,1.0,1.0,0.0,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,
SW579,1.0,1.0,0.0,,,1.0,,,1.0,1.0,,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
SW620,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
Saos-2,1.0,1.0,0.0,,,1.0,0.0,,0.0,0.0,,,,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Sq-1,1.0,1.0,1.0,,0.0,,1.0,1.0,0.0,,,1.0,,,,0.0,1.0,1.0,,,0.0,1.0,,1.0
T-47D,0.0,1.0,0.0,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,0.0,,0.0,,1.0,1.0
T24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
T3M-10,1.0,0.0,,0.0,0.0,0.0,,1.0,1.0,,,1.0,,,,,0.0,1.0,1.0,,,1.0,0.0,0.0
T84,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
T98G,1.0,1.0,1.0,,,0.0,,,,0.0,,,,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
TC-71,0.0,1.0,,,,1.0,,,,,,,,0.0,,,1.0,1.0,0.0,,0.0,1.0,1.0,
TCCSUP,1.0,0.0,1.0,,,1.0,,,,1.0,,0.0,1.0,1.0,,0.0,,1.0,0.0,,1.0,0.0,1.0,
TE 617.T,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TE-1,1.0,0.0,0.0,,0.0,,,,0.0,,,1.0,,1.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0
TE-11,1.0,1.0,1.0,,1.0,,,,1.0,,,0.0,,1.0,,,,0.0,,,1.0,1.0,1.0,
TE-15,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0
TE-5,0.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,0.0,,,,0.0,1.0,1.0
TE-9,1.0,1.0,0.0,,1.0,1.0,,,0.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEN,0.0,,1.0,,,0.0,,1.0,,,,,,,,,0.0,0.0,1.0,,0.0,,0.0,
TOV-112D,0.0,0.0,1.0,,0.0,1.0,,,1.0,0.0,,0.0,1.0,1.0,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
TOV-21G,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TT2609-C02,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
TYK-nu,1.0,1.0,0.0,1.0,,1.0,,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Toledo,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,1.0,,,,,1.0,1.0
